F000,No Fault,-,No Fault Present,-
F002,Auxiliary Input,Auto-Reset/Run,External trip (Auxiliary) input,Check Remote Wiring. Verify Communications programming
F003,Power Loss,Non-Resettable,Single Phase Operation detected with excessive load,Monitor AC line for low voltage. Check fuses. Reduce Load
F004,Under Voltage,Auto-Reset/Run,DC bus voltage fell below the minimum value,Monitor the incoming AC line for low voltage or inturruption
F005,Over Voltage,Auto-Reset/Run,DC bus voltage exceeded maximum value,Monitor the AC line for high voltage. If cause is motor regeneration extend the decel time.
F006,Motor Stalled,Auto-Reset/Run,Drive is unable to accelerate or decelerate motor,Increase P041/A442/A444/A446 or reduce load so its under parameter A484/A485. Check for overhauling load.
F007,Motor Overload,Auto-Reset/Run,Internal electronic overload trip,An Excessive motorload exists. Verify A540 (Boost Select) setting. Reduce load below parameter P033
F008,Heatsink Over Temp,Auto-Reset/Run,Heatsing/Power Module temperature is high,Check for blocked or dirty heat sink fins. Check Fan
F009,CC Over Temp,Auto-Reset/Run,Control module temperature exceeds a predfined value,Check product ambient temperature/ dirt or debris/ fan/ airflow obstruction
F012,HW OverCurrent,Non-Resettable,The drive output current has exceeded the limit.,Check programming/excessive load/imporoper A530 setting/DC brake volts set to high
F013,Ground Fault,Auto-Reset/Run,A current path to earth ground is detected at a drive terminal,Check the motor and external wiring to the drive output terminals for a grounded condition.
F015,Load Loss,Non-Resettable,The output torque is below value programmed in A490,Verify connections between motor and load. Verify level and time requirements.
F021,Output Ph Loss,Auto-Reset/Run,Output Phase Loss. Configured with A557,Verify motor wiring. Verify motor
F029,Analog In Loss,Auto-Reset/Run,An analog input is configured to fault on signal loss. ,Check broken/loose connections at inputs. Check t094 or t097
F033,Auto Restart Tries,Non-Resettable,Drive unsuccessfully attemptd to reset a fault for max # tries,Correct the cause of the fault and manually clear
F038,Phase U to Gnd,Non-Resettable,A phase to ground fault detected between drive and motor,Check wiring between the drive and motor. Check motor for grounded phase. Replace drive
F039,Phase V to Gnd,Non-Resettable,A phase to ground fault detected between drive and motor,Check wiring between the drive and motor. Check motor for grounded phase. Replace drive
